;;NE;Start;End;X1 Average User Number ;X2 L.DLPwr.Avg;Y L.UL.Interference.Avg;X3 RA Success Rate;X4 RRC Setup Success Rate (Service);X5 TA Mean
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 00:00;09.05.2023 01:00;26,3425;43;-118;98,4256;100;0,8613
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 01:00;09.05.2023 02:00;17,8534;41,1;-118;96,9308;100;0,8511
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 02:00;09.05.2023 03:00;26,7403;41,3;-117;98,2773;100;0,8524
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 03:00;09.05.2023 04:00;35,3873;41;-116;97,6837;100;0,7992
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 04:00;09.05.2023 05:00;16,1639;40,4;-116;96,4754;100;0,8028
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 05:00;09.05.2023 06:00;22,0417;41,5;-116;95,204;100;0,8703
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 06:00;09.05.2023 07:00;25,2205;42,8;-117;94,9629;100;0,8601
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 07:00;09.05.2023 08:00;25,7183;44,6;-117;68,4126;99,966;0,9681
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 08:00;09.05.2023 09:00;36,8878;44,6;-117;95,4974;100;0,9534
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 09:00;09.05.2023 10:00;39,6847;43,9;-116;92,9674;99,9789;0,9114
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 10:00;09.05.2023 11:00;44,5931;44,5;-116;83,1804;99,9817;0,9227
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 11:00;09.05.2023 12:00;48,6124;45,3;-116;68,2244;100;0,9604
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 12:00;09.05.2023 13:00;35,8908;45,4;-117;69,3736;99,9671;0,9631
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 13:00;09.05.2023 14:00;39,1261;44,6;-117;93,6935;100;0,9292
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 14:00;09.05.2023 15:00;48,5867;45,5;-116;93,429;99,9788;0,9291
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 15:00;09.05.2023 16:00;44,9833;46,1;-116;93,3677;100;0,9333
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 16:00;09.05.2023 17:00;42,5014;45,6;-117;93,8767;100;0,952
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 17:00;09.05.2023 18:00;48,1078;46,6;-116;83,1768;100;0,9644
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 18:00;09.05.2023 19:00;45,6514;45,8;-116;88,5314;99,9746;0,8964
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 19:00;09.05.2023 20:00;44,9697;47,2;-116;89,1792;99,9466;0,9045
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 20:00;09.05.2023 21:00;45,4606;47,3;-116;90,6359;100;0,8829
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 21:00;09.05.2023 22:00;42,4456;47,2;-115;93,1862;100;0,8805
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 22:00;09.05.2023 23:00;39,7028;46,2;-116;96,914;100;0,8668
;;44_KOS0001C_101L18_O_MORSKA_18;09.05.2023 23:00;10.05.2023 00:00;28,8119;44,6;-117;94,9041;100;0,8739
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 00:00;10.05.2023 01:00;31,1864;42,5;-117;97,7639;100;0,9292
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 01:00;10.05.2023 02:00;20,6861;41,9;-117;82,167;100;0,9631
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 02:00;10.05.2023 03:00;14,3011;40,9;-117;95,7179;100;0,8836
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 03:00;10.05.2023 04:00;23,8597;40,7;-116;95,2931;100;0,8401
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 04:00;10.05.2023 05:00;16,6244;40,7;-116;96,4706;100;0,9147
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 05:00;10.05.2023 06:00;22,3094;41,1;-115;97,4865;100;0,8564
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 06:00;10.05.2023 07:00;22,5511;42,4;-115;96,2684;100;0,9926
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 07:00;10.05.2023 08:00;36,2589;43,4;-116;95,3106;100;0,9223
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 08:00;10.05.2023 09:00;53,5031;45,4;-115;95,3464;100;0,8822
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 09:00;10.05.2023 10:00;47,7853;45,1;-115;94,5088;99,978;0,8709
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 10:00;10.05.2023 11:00;37,8286;44,2;-115;92,0352;99,9739;0,8701
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 11:00;10.05.2023 12:00;35,516;43,9;-115;93,1974;100;0,9105
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 12:00;10.05.2023 13:00;33,9403;44,4;-115;93,4471;99,9721;0,9564
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 13:00;10.05.2023 14:00;40,3806;44,7;-115;91,2487;99,9759;0,9016
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 14:00;10.05.2023 15:00;41,6636;45,4;-115;92,0635;99,9763;0,9857
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 15:00;10.05.2023 16:00;42,2864;46,8;-115;91,3804;99,9757;1,0195
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 16:00;10.05.2023 17:00;39,2517;46,3;-116;88,2375;100;0,9935
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 17:00;10.05.2023 18:00;35,7758;47;-115;90,7629;100;0,9298
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 18:00;10.05.2023 19:00;41,6667;46,9;-116;91,3349;99,9414;0,9467
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 19:00;10.05.2023 20:00;42,1219;47,2;-116;93,0314;100;0,9267
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 20:00;10.05.2023 21:00;48,3572;47,1;-116;92,2669;100;0,9398
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 21:00;10.05.2023 22:00;45,3117;47,5;-116;90,7776;100;0,9438
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 22:00;10.05.2023 23:00;37,5753;47,4;-117;95,1923;100;0,9301
;;44_KOS0001C_101L18_O_MORSKA_18;10.05.2023 23:00;11.05.2023 00:00;41,9528;46,1;-117;96,7384;100;0,8432
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 00:00;11.05.2023 01:00;32,8383;42,9;-117;94,6974;100;0,8451
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 01:00;11.05.2023 02:00;23,7053;41,8;-118;94,9068;100;0,8314
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 02:00;11.05.2023 03:00;20,7822;41,1;-117;99,1418;100;0,9407
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 03:00;11.05.2023 04:00;21,6933;41,2;-117;96,3722;100;0,9199
